id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
acmadeniamacropetala,Acmadenia macropetala,,(Glover) Compton,,Plantae,,,,,Acmadenia,,,,,,,,[plantzafrica.com],
acmadeniamundiana,Acmadenia mundiana,,Eckl. & Zeyh.,,Plantae,,,,,Acmadenia,,,,,,,,[plantzafrica.com],
acmadeniaobtusata,Acmadenia obtusata,,(Thunb.) Bartl. & H.L.Wendl.,,Plantae,,,,,Acmadenia,,,,,,,,[plantzafrica.com],
acmadeniatrigona,Acmadenia trigona,,(Eckl. & Zeyh.) Druce,,Plantae,,,,,Acmadenia,,,,,,,,[plantzafrica.com],
acmellaoleracea,Acmella oleracea,,,,Plantae,,,,,Acmella,,,,,,,,[PROTA],
acokantheralaevigata,Acokanthera laevigata,,,,Plantae,,,,,Acokanthera,,,,,,,,[PROTA],
acokantheraoblongifolia,Acokanthera oblongifolia,,,,Plantae,,,,,Acokanthera,,,,,,,,[PROTA],
acokantheraoppositifolia,Acokanthera oppositifolia,,(Lam.) Codd,,Plantae,,,,,Acokanthera,,,,,,,,[plantzafrica.com],
acokantheraschimperi,Acokanthera schimperi,,,,Plantae,,,,,Acokanthera,,,,,,,,[PROTA],
acomysjohannis,Acomys johannis,,"Thomas, 1912",Johanâ€™s spiny mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,,,,,,,,,
acomysspinosissimus,Acomys spinosissimus,,"Peters, 1852",Spiny Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,"omnivore; length: 17 cm, tail-length: 8 cm; reddish-grey back with spiny hair, white underside;","savanna, woodland","BW,MZ,ZA,ZW",,,,,,
acomyssubspinosus,Acomys subspinosus,,"(Waterhouse, 1838)",Cape Spiny Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,"omnivore; length: 17 cm, tail-length: 8 cm; dark grey-brown back with spiny hair, white underside;",fynbos,ZA,,,,,,
acoryphaclara,Acorypha clara,,"(Walker, 1870)",,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acorypha,,,,,,,,,
acoryphaglaucopsis,Acorypha glaucopsis,,"(Walker, 1870)",,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Acorypha,,,,,,,,,
acrididae,Acrididae,,"MacLeay, 1821",grasshoppers,Animalia,Arthropoda,Insecta,Orthoptera,,,,"marshland, rainforest, scrubforest","BW,NA,ZA",,,,,,
acridocarpusexcelsus,Acridocarpus excelsus,,,,Plantae,,,,,Acridocarpus,,,,,,,,[PROTA],
acridocarpusmonodii,Acridocarpus monodii,,Arènes & P.Jaeger ex Birnbaum & J.Florence,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Acridocarpus,,,ML,,,,,,
acridocarpusnatalitius,Acridocarpus natalitius,,A.Juss.,,Plantae,,,,,Acridocarpus,,,,,,,,[plantzafrica.com],
acrocarpusfraxinifolius,Acrocarpus fraxinifolius,,,,Plantae,,,,,Acrocarpus,,,,,,,,[PROTA],
acrotomefleckii,Acrotome fleckii,,(Gürke) Launert,Namib acrotome,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Acrotome,"herb; up to 30 cm tall; hairy stems and leaves; white, two-lipped flowers in ball-shaped whorls",rocky area,,,,,,,
