id,scientific_name,species_description,english_name,kingdom,order,family,genus,characteristics,biotope,ecoregions__ids,countries__ids,general_uses,notes,refs__ids,wikipedia_url,eol_id,links
aethomyssilindensis,Aethomys silindensis,,Silinda rock rat,Animalia,Rodentia,Muridae,Aethomys,"herbivore; length:35 cm, tail-length: 18 cm; scaled tail;","montane forest, rocky area","AT0719,AT1006","MZ,ZW",,,stuartstuart2007[116],http://en.wikipedia.org/wiki/Aethomys_silindensis,1178683,
aframomummelegueta,Aframomum melegueta,,Guinea pepper,Plantae,Zingiberales,Zingiberaceae,Aframomum,,,AT0130,GN;CI,,,,,1127012,
afrixalusvittiger,Afrixalus vittiger,,Spiny reed frog,Animalia,Anura,Hyperoliidae,Afrixalus,,,,,,,,,2920439,
afrotrilepispilosa,Afrotrilepis pilosa,,,Plantae,Poales,Cyperaceae,Afrotrilepis,,,AT0722,BJ,,,,,1126984,
agamaaculeata,Agama aculeata,,Dwarf rockhead agama,Animalia,Squamata,Agamidae,Agama,,,AT1309,,,,,http://en.wikipedia.org/wiki/Agama_aculeata,815934,
agamaagama,Agama agama,,Common agama,Animalia,Squamata,Agamidae,Agama,,,,,,,,http://en.wikipedia.org/wiki/Agama_agama,815935,
agamaboueti,Agama boueti,,Mali Agama,Animalia,Squamata,Agamidae,Agama,,,,,,,,,815864,
agamasankaranica,Agama sankaranica,,Senegal Agama,Animalia,Squamata,Agamidae,Agama,,,AT0130,GN,,,,,1057263,
agriusconvolvuli,Agrius convolvuli,,Convolvulus Hawk,Animalia,Lepidoptera,Sphingidae,Agrius,,,AA0405;AA0409;AT0707;AT0719;IM0126;IM0149;IM0204;IM0502;PA0402;PA0405;PA0409;PA0436;PA0445;PA0608;PA1211,DK;PT;DE;IT;BJ;HK;NZ;AU;IN;PH;IE;SE;MZ,,,,,503933,
aiolopussimulatrixsimulatrix,Aiolopus simulatrix simulatrix,,,Animalia,Orthoptera,Acrididae,Aiolopus,,,,,,,,,1279292,
