eucleacrispa,AT0704;AT1015
sansevieriaaethiopica,AT0907
musminutoides,AT0124;AT0707;AT0718;PA0402
najanigricollis,AT0114;AT0130;AT0707;AT0711
varanusniloticus,AT0109;AT0110;AT0116;AT0125;AT0126;AT0705;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT0905;AT0907;AT1004;AT1009;AT1314;AT1403;Lake
munduleasericea,AT1309
bathyergussuillus,
cissusquadrangularis,AT0722;IM0146;IM0154
eupodotisruficrista,AT0702;AT0709;AT0711;AT0717;AT0725;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309;AT1316
synceruscaffer,AT0101;AT0102;AT0108;AT0125;AT0706;AT0709;AT0711;AT0714;AT0716;AT0721;AT0725;AT0726;AT0907;AT1004;AT1005;AT1012;AT1309
phacochoerusafricanus,AT0108;AT0119;AT0125;AT0128;AT0702;AT0705;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1005;AT1012;AT1309;AT1316
nandiniabinotata,AT0102;AT0110;AT0111;AT0114;AT0130;AT0707;AT0721;PA0501
elephantorrhizaelephantina,
nidorellaresedifolia,AT0907;AT1015
pentarrhinuminsipidum,
giraffacamelopardalis,AT0108;AT0125;AT0702;AT0711;AT0714;AT0716;AT0717;AT0721;AT0722;AT0725;AT0901;AT0902;AT1004;AT1005;AT1006;AT1012;AT1309;AT1316
steatomysparvus,
hypolimnasmisippus,AT0111;AT0116;AT0117;AT0123;AT0127;AT0130;AT0704;AT0711;AT0713;AT0715;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT1001;AT1004;AT1009;AT1302;AT1321;AT1405;IM0124;IM0209
cleomeangustifolia,
hystrixafricaeaustralis,AT0702;AT0709;AT1004;AT1203;AT1309;AT1316
rousettusaegyptiacus,AT0101;AT0102;AT0112;AT0114;AT0126;AT0130;AT0721;AT0722;PA1303
laniusminor,PA0422;PA0436;PA0445;PA0608;PA0805;PA1201;PA1220
pyxicephalusadspersus,AT0702;AT0725;AT0907;AT1309;AT1316
eupodotisafra,AT0702;AT0709;AT0717;AT0902;AT1009;AT1201;AT1202;AT1203;AT1309;AT1314;AT1322
physetermacrocephalus,AA0402;NA0517;NA0529;NA0701;PA0402
ziziphuszeyherana,
scopusumbretta,AT0101;AT0108;AT0112;AT0119;AT0125;AT0704;AT0705;AT0706;AT0707;AT0711;AT0715;AT0716;AT0721;AT0722;AT0725;AT1005;AT1007;AT1403;Lake
cephalophusnatalensis,AT0119;AT0714;AT0725;AT1004
monechmaincanum,
kyllingaalata,AT0907
capereamarginata,AA0409;AA0413;AA1206
genettatigrina,AT0707;AT0716;AT0719;AT0725;AT1403
elephantulusfuscus,
crocodylusniloticus,AT0116;AT0711;AT0713;AT0714;AT0715;AT0716;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1309;AT1403;NT0164
creatophoracinerea,AT0108;AT0706;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT0908;AT1007;AT1009;AT1309
hippotragusniger,AT0125;AT0709;AT0717;AT0719;AT0725;AT0726;AT0907;AT1009;AT1309
heloiosciurusmutabilis,AT0725
taphozousperforatus,AT0707;AT0711;AT0722;AT1402
rhynchogalemelleri,
spirostachysafricana,
musmusculus,AA0402;AA0405;AA0406;AA0801;AA1003;AA1205;NT0310;OC0106;PA0402;PA0405;PA0409;PA0412;PA0425;PA0429;PA0431;PA0436;PA0445;PA0608
helichrysumargyrosphaerum,AT1004
miniopterusschreibersi,PA0402;PA0433;PA0445;PA0501;PA1204;PA1211;PA1215;PA1217;PA1222
hipposideroscommersoni,AT0202;AT1312
solanumcoccineum,
ichneumiaalbicauda,AT0116;AT0716;AT0719;AT0725
mormopterusacetabulosus,
cryptochloriswintoni,
acaciacaffra,
coraciascaudatus,AT0108;AT0109;AT0119;AT0125;AT0704;AT0711;AT0714;AT0715;AT0716;AT0717;AT0725
parotomysbrantsii,AT1309
chaerephonchapini,
brachystelmacupulatum,
taurotragusoryx,AT0108;AT0702;AT0711;AT0714;AT0716;AT0725;AT0726;AT1004;AT1009;AT1202;AT1203;AT1309;AT1314
crociduraolivieri,AT0111;AT0130
tytoalba,AA0117;AT1007;NA0413;NA0414;NA0510;NA0512;NA0516;NA0519;NA0524;NA0801;NA0814;NA1201;NA1202;NA1203;NA1302;NA1305;NA1308;NA1309;NA1310;NA1312;NT0176;PA0402;PA0406;PA0421;PA0445;PA1201;PA1209;PA1215
xerusprinceps,AT0701
nycteristhebaica,AT0725;AT1202;AT1309
eptesicuscapensis,
turdoidesbicolor,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1309;AT1316
amblysomushottentotus,
triumfettarhomboidea,AA0402;AT0130;AT0713;AT0722
nycterismacrotis,AT0704;AT0707
neorautaneniaamboensis,
pronolaguscrassicaudatus,
chaerephonansorgei,
dendrohyraxarboreus,AT0108;AT0109;AT0711;AT0714;AT0716;AT0717;AT0725
corythaixoidesconcolor,AT0101;AT0704;AT0709;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0907;AT0908;AT1009;AT1316
scotoecusalbofuscus,AT0722
grewiaflavescens,AT0707;AT0713;AT0722;AT0907;AT1309
kedrostishirtella,
rhustenuinervis,AT0907;AT1309
tragiarupestris,
pipistrellusrusticus,
falcorupicoloides,AT0108;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0726;AT0902;AT0908;AT1004;AT1009;AT1202;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322
pollichiacampestris,
rhuspyroides,AT1004;AT1015
corvuscapensis,AT0108;AT0112;AT0116;AT0702;AT0709;AT0711;AT0714;AT0716;AT0725;AT0902;AT0908;AT1003;AT1004;AT1005;AT1007;AT1008;AT1009;AT1201;AT1202;AT1203;AT1314;AT1316
dicerosbicornis,AT0108;AT0116;AT0119;AT0702;AT0711;AT0716;AT0717;AT0725;AT0902;AT0907;AT1201;AT1309;AT1316;NA0414;NA0415;NA0804;NA0814;NA0815
myosorexlongicaudatus,
pipistrellusrueppelli,
onychognathusmorio,AT0108;AT0109;AT0115;AT0116;AT0711;AT0714;AT0716;AT0725;AT1003;AT1004;AT1005;AT1007;AT1009;AT1012;AT1202;AT1203;AT1314
arctocephalustropicalis,AA0402
plectropterusgambensis,AT0107;AT0108;AT0112;AT0116;AT0119;AT0704;AT0705;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1005;AT1007;AT1009;AT1202;AT1405
dendromusmelanotis,
cucumisafricanus,
combretumcollinumsubspgazense,AT0722;AT0725
arctocephaluspusillus,AA0402;AA0409;AT1203;AT1315;AT1322;NA1306
hydrictismaculicollis,AT0101;AT0130;Lake
galerellaflavescens,
laephotisnamibensis,
neotragusmoschatus,
tragelaphusspekeii,AT0704;AT0721;AT0725
brachystelmaarnotii,
petrodromustetradactylus,AT0125
