Oxygonumdelagoense,,
danauschrysippus,AA0402;AA1304;AT0108;AT0117;AT0123;AT0125;AT0127;AT0201;AT0705;AT0707;AT0709;AT0711;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT1006;AT1009;AT1013;AT1302;AT1306;AT1309;AT1312;AT1316;AT1320;AT1401;IM0111;IM0120;IM0124;IM0131;IM0134;IM0146;IM0149;IM0151;IM0201;IM0203;IM0209;IM0212;PA1201;PA1203;PA1205;PA1207;PA1214;PA1221;PA1333,AE;AU;BW;CV;EG;ES;GA;GM;GR;HK;ID;IL;IN;KE;LK;MG;MR;MZ;NA;NG;OM;PT;RW;SG;SL;SN;ST;TN;TZ;UG;ZA;ZW
danielliaoliveri,AT0111;AT0130;AT0707;AT0722;AT1403,BF;BJ;CI;FR;GN;ML;SN
daptioncapense,AA0407;AN1101;AN1103,AQ;AR;CL;FK;GS;NZ
dasymysincomtus,AT0718,CD
dasypeltissahelensis,,
daturainnoxia,AT1315;NA0503;NA0801;NA1201;PA0402;PA0412;PA0431;PA0904;PA1201;PA1203;PA1209;PA1212;PA1215;PA1216;PA1321,BE;DE;EG;ES;FR;GR;HU;NA;TR;US
daturainoxia,AA1207;AT0713;IM0154;IM0203;IM0212;PA0405;PA0436,AU;ES;IN;LK;SE;SN
daturastramonium,AA0801;NA0402;NA0403;NA0411;NA1202;PA0402;PA0405;PA0406;PA0412;PA0436;PA0445;PA0608;PA1203;PA1215;PA1221;PA1222;PA1310,DE;ES;FR;IT;NZ;PT;SE;US
daucuscarota,AA0405;AA0801;NA0410;NA0519;PA0402;PA0436;PA0445;PA1211;PA1215,DE;ES;FR;IE;IT;NZ;SE;US
delphinuscapensis,AA0403,EG;NZ;PG;US
delphinusdelphis,AA0406;PA0425;PA0429;PA0436;PA1201,ES;FR;GB;GR;MX;NZ;PT;SE;US
deltaemarginatum,,
dendroaspis,AT0110;AT0111;AT0707;AT0709;AT0725;AT0726,BW;CD;GH;NA;SN;ZM
dendroaspispolylepis,AT0707;AT0709;AT0725;AT0726,BW;NA;SN;ZM
dendrocygna,AA0405;AT0118;AT0707;AT0721;AT0722;IM0105;IM0124;IM0146;IM0162;NA0409;NA0414;NA0523;NA0529;NA0701;NA0804;NA0806;NA0814;NA1202;NA1302;NA1312;NT0129;NT0136;NT0154;NT0155;NT0204;NT0210;NT0212;NT0217;NT0230;NT0310;NT0708;NT0709;NT0803;NT0904;NT0907;PA0421,AR;BO;BR;CO;CR;GB;GM;IN;MG;MX;NE;NZ;PR;PY;SG;UG;US;VE
dendrocygnabicolor,AT0705;AT0711;AT0713;AT1004;NA0529;NA0701;NA1302;NA1312;NT0111;NT0154;NT0217;NT0224;NT0228;NT0229;NT0230;NT0303;NT0709;NT0803;NT0904;NT1403;NT1404;PA0421,AR;BZ;CO;GB;HN;KE;MX;NI;PA;SN;UG;US;VE;ZA
dendrocygnaviduata,AT0101;AT0111;AT0112;AT0118;AT0119;AT0125;AT0130;AT0704;AT0705;AT0707;AT0711;AT0713;AT0714;AT0717;AT0721;AT0722;AT0725;AT1004;AT1008;NT0117;NT0137;NT0160;NT0166;NT0210;NT0212;NT0708;NT0709;NT0801;NT0803;NT0907,AR;BO;BR;CO;ET;GH;GM;KE;LR;MG;MZ;NE;PE;PY;SN;TZ;UG;VE;ZA;ZM
dendrohyraxarboreus,AT0108;AT0109;AT0711;AT0714;AT0716;AT0717;AT0725,KE;MZ;TZ;ZW
dendromusmelanotis,,
dendromusmesomelas,,
dendromusmystacalis,,
dendromusnyikae,,
dendropicoselachus,AT0707;AT0713;AT0722,CM;NE;SN
dendropicosgoertae,AT0101;AT0108;AT0112;AT0121;AT0125;AT0705;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0721;AT0722;AT1007;AT1008;AT1401;AT1403;IM0166;IM0301,CM;ET;GH;GM;GW;IN;KE;SN;TZ;UG
dendropicosnamaquus,AT0108;AT0119;AT0125;AT0128;AT0704;AT0709;AT0711;AT0714;AT0715;AT0716;AT0721;AT0725;AT0726;AT0907;AT1004;AT1007;AT1309;AT1316,BW;CD;ET;KE;MZ;NA;SZ;TZ;UG;ZA;ZM;ZW
dermestes,NA0407;NA0410;NA0801;NA1202;PA0405;PA0436;PA0445;PA0608,DE;SE;US
desmodillusauricularis,,
desmodiumhirtum,AT0722,BF;BJ;NG
detariummicrocarpum,AT0111;AT0722,BF;BJ;ML
detariumsenegalense,AT0130;AT0707;AT0722;AT1403,FR;GM;GN;ML
deverradenudata,,
diabolocatantopsaxillaris,,
dialiumenglerianum,,
diamphidia,,
diamphidiasimplex,,
dicerocaryumeriocarpum,,
dicerocaryumzanguebarium,,
dicerosbicornis,AT0108;AT0116;AT0119;AT0702;AT0711;AT0716;AT0717;AT0725;AT0902;AT0907;AT1201;AT1309;AT1316;NA0414;NA0415;NA0804;NA0814;NA0815,KE;NA;TZ;US;ZA;ZW
dichanthiumannulatum,,
dichapetalumcymosum,,
dichrostachyscinerea,AT0103;AT0114;AT0130;AT0702;AT0707;AT0713;AT0722;AT0725;AT0907;AT1015;AT1309;AT1403;IM0212,BF;BJ;BW;FR;GM;GN;LK;NA;NG;TZ;ZW
dichrostachyscinereaafricana,AT0103;AT0114;AT0130;AT0702;AT0707;AT0713;AT0722;AT0725;AT0907;AT1015;AT1309;AT1403;IM0212,BF;BJ;BW;FR;GM;GN;LK;NA;NG;TZ;ZW
diclipteraverticillataforsskchristens,AT0713;AT0722,BF;NG
dicomaanomala,AT1015,TZ
dicomacapensis,,
dicomaschinzii,,
dicomatomentosa,AT0114;AT0907,BW;GN
dicrurusadsimilis,AT0101;AT0108;AT0109;AT0111;AT0115;AT0116;AT0125;AT0705;AT0707;AT0711;AT0716;AT0717;AT0721;AT0722;AT0725;AT1003;AT1004;AT1012;AT1203,BJ;GH;GM;KE;TZ;UG;ZA
digitariaciliarisvarciliaris,AA0402;AA0409;AT0713;AT0722;PA1209,AU;BF;BJ;ES;NG
digitariadebilis,PA1209;PA1221,ES
digitariaerianthasteud,AA0402,AU
digitariaexilis,,
digitariahorizontalis,AT0111;AT0707;AT0713;AT0722,BF;BJ;NG;SN
digitariamilanjiana,,
diheteropogonhagerupii,AT0713,BF
dimorphothecapolyptera,,
dinebraretroflexaretroflexa,PA0402,BE;ES
dinothrombium,AT0702;AT1403;NA1303,GM;NA;US
dinothrombiumtinctorium,AT1403,GM
diomedeaepomophora,AA0801,AR;AU;CL;FK;GS;NZ;ZA
diomedeaexulans,AA0402;AN1104,AQ;AR;AU;CL;FK;GS;NZ;TF
dioscoreaalata,AT0110;NT0134;NT0209,CD;FR;MX
dioscoreaquartiniana,AT1015,TZ
diospyroschamaethamnus,,
diospyroslycioides,AT0719;AT0907;AT1004;AT1309,BW;MW;NA;ZA
diospyrosmespiliformis,AT0111;AT0130;AT0719;AT0722;AT0907;AT1403,BF;BJ;BW;CI;GN;ML;MW
dipcadi,AT0202;PA1209;PA1212;PA1215,ES;FR;MG;PT
dipcadiglaucum,,
dipcadilongifolium,,
dipcadimarlothiiengl,,
dipcadiviride,AT0722;AT1015,BF;TZ
diplopoda,AA0405;AA0406;AA1003;AT0725;NA0303;NA0413;NA0519;NA0801;NA1201;NA1202;NT0210;OC0106;PA0405;PA0436;PA0445;PA0608;PA1211,AR;DE;IT;MX;MZ;NZ;SE;US
diplorhynchuscondylocarpon,,
dipsadoboashreveikageleri,,
dispholidustypus,AT0109;AT0125;AT0725;AT0726;AT1004;AT1006,MZ;NA;TZ;ZA;ZW
distichodusbrevipinnis,,
dolichospratensis,,
dombeyarotundifolia,AT1309,NA
dorylus,AT0104;AT0125;AT0130;AT0704;AT0707;AT0712;AT0723;AT0725;AT0726;AT1005;AT1014;IM0119,CD;CM;GN;GW;MW;NA;SL;TH;TZ;ZA;ZM
dorylushelvolus,AT0704,ZM
drimiaaltissima,AT0722,BF
dugongdugon,AA0402;AA0409;AA1301;AT0128;PA1333,AU;EG;ID;MZ;SC
duroniachloronota,,
dytiscus,PA0402;PA0405;PA0412;PA0436;PA0445;PA0501;PA0608,AT;DE;FR;SE
echinochloa,NA0804;NA0814;PA0402;PA0405;PA0406;PA0436;PA0445;PA1215,DE;FR;SE;US
echinochloacolona,AA0402;AA0409;AA0802;NA0804;PA0409;PA0436;PA0513;PA1209,AU;ES;FR;IE;SE;US
echinochloapyramidalis,AT0713;AT0907,BF;BW
echinochloastagnina,AT0713;AT0722;AT0907;PA0436,BF;BW;SE
echinopspappii,,
echisleucogaster,,
echisocellatus,,
ecliptaprostrata,AA0402;NA0404;NA0405;NA0409;NA0412;NA0413;NA0414;NA0701;NA0801;NA0804;NA0814;NA1201;NA1310;PA0402;PA0405;PA0412;PA0431;PA0436;PA0445;PA1215;PA1222,AT;AU;DE;FR;IE;NL;SE;US
egrettaardesiaca,AT0112;AT0118;AT0119;AT0125;AT0128;AT0202;AT0704;AT0707;AT0711;AT0713;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT0726;AT0907;AT1008;AT1009;AT1315;AT1401;AT1403,BW;CD;ET;GH;GM;GN;GW;KE;MG;MZ;NA;NG;SN;TZ;UG;ZA;ZM;ZW
egrettagarzetta,AT0715;AT0722;AT0725;IM0103;IM0105;IM0172;IM0202;IM1402;PA0402;PA0431;PA0440;PA0445;PA0904;PA1201;PA1203;PA1205;PA1207;PA1209;PA1210;PA1211;PA1212;PA1215;PA1221;PA1303;PA1321,AT;BE;BT;DE;EG;ES;ET;FR;GM;GR;IL;IN;IT;JP;KH;MA;MY;PT;PW;TH;TW;ZW
egrettaintermedia,AA0117;AA0402;AA0702;AA0703;AA0705;AA0802;AT0707;AT0711;AT0725;IM0120;IM0124;IM0126;IM0135;IM0137;IM0141;IM0146;IM0149;IM0150;IM0151;IM0164;IM0170;IM0172;IM0202;IM0209;IM0210;IM0211;IM1402,AU;GH;GM;HK;IN;JP;KE;KH;MM;MY;TH;TW;VN;ZA
egrettavinaceigula,AT0709;AT0725;AT0726;AT0907,AO;BW;NA;ZM
ehretiarigida,,
eidolonhelvum,AT0101;AT0102;AT0103;AT0107;AT0108;AT0111;AT0119;AT0126;AT0127;AT0130;AT0704;AT0707;AT0713;AT0716;AT0721;AT0722;AT0723;AT0906;AT1320;AT1401;AT1403,AO;BF;BI;BJ;CD;CI;CM;GA;GH;GM;GN;GQ;GW;KE;LR;ML;MR;MZ;NE;NG;RW;SA;SL;SN;ST;TG;TZ;UG;ZM
elaeisguineensis,AT0111;AT0114;AT0130;AT0707;AT0722;AT1403;IM0102;NT0145;NT0704,BF;BJ;BR;CI;EC;FR;GH;GN;GW;ML;MY
elanuscaeruleus,AT0711;AT0716;AT0725;AT1004;AT1306;IM0107;IM0124;IM0126;IM0164;IM0166;IM0172;IM0208;PA0405;PA0436;PA0445;PA1209;PA1215;PA1221;PA1327,AE;DE;EG;ES;IN;KE;KH;LS;PT;SE;TH;TW;ZA
eleocharisacutangula,AT0722;AT0907;NT0125,BF;BW;GY
elephantorrhizaburkei,,
elephantorrhizaelephantina,,
elephantulusbrachyrhynchus,AT0725,ZM
elephantulusedwardii,,
elephantulusfuscus,,
elephantulusintufi,AT1316,NA
elephantulusmyurus,,
elephantulusrupestris,,
eleusineindica,AA0402;AA0409;NA0405;NA0413;NA0814;NT0109;PA0402;PA0432;PA1212;PA1215,AU;CO;ES;FR;NL;US
elionuruselegans,AT0111;AT0722,BF;BJ
elymandragrallata,,
elytrophorusglobularis,,
emberizaaffinis,AT0101;AT0112;AT0705;AT0707;AT0712;AT0713;AT0721;AT0722;AT1007;AT1403;IM0206,CM;ET;GH;GM;IN;NG;SN;UG
emberizaflaviventris,AT0101;AT0108;AT0119;AT0701;AT0702;AT0704;AT0711;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT1003;AT1004;AT1005;AT1007;AT1012;AT1013,AO;ET;KE;LS;NA;RW;SZ;TZ;UG;ZA;ZM;ZW
emberizastriolata,AT0801;AT1007;AT1306;PA1303;PA1323;PA1325,AE;ET;IL;IN;IR;JO;KW;OM;QA;SA
emberizastriolatasahari,AT0801;AT1007;AT1306;PA1303;PA1323;PA1325,AE;ET;IL;IN;IR;JO;KW;OM;QA;SA
emberizatahapisi,AT0101;AT0108;AT0109;AT0119;AT0702;AT0705;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0722;AT0725;AT0726;AT0902;AT1002;AT1004;AT1007;AT1012;AT1013;AT1302;AT1316;AT1320;PA1325,AO;BW;ET;GH;KE;LS;NA;OM;SA;SZ;TZ;UG;ZA;ZM
empusaguttula,,
endostemontereticaulis,AT0713,BF
endostemontereticaulispoirmrashby,AT0713,BF
englerinalecardii,,
englerophytummagalismontanum,AT0130;AT0719,CI;MW
enneapogoncenchroides,,
enneapogondesvauxii,,ES
enneapogonscaber,,
entadaafricana,AT0111;AT0114;AT0130;AT0722,BF;BJ;GN;ML
entadaarenaria,,
enteropogonprieurii,AT0707;AT0713;AT0722,BF;SN
ephippiorhynchussenegalensis,AT0101;AT0108;AT0112;AT0119;AT0704;AT0705;AT0706;AT0711;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1007,BW;ET;GH;KE;TZ;UG;ZA;ZM;ZW
epomophorusgambianus,AT0114;AT0119;AT0707;AT0712;AT0713;AT0719;AT0722,BF;BJ;CM;GH;GM;GN;ML;SN;TG;ZA;ZM
epomophoruswahlbergi,AT0109;AT0115;AT0125;AT0711;AT0725,KE;TZ;ZA
eptesicuscapensis,,
eptesicushottentotus,,
eptesicusrendallii,,
equus,AA0405;AA1003;AT0108;AT0711;AT0714;AT0716;AT0725;AT0901;AT1004;AT1005;AT1006;NA0411;NA0503;NA0515;NA0811;NA0814;NA1201;NA1202;NA1302;NA1304;NA1305;NA1308;NA1310;NT0121;NT0210;NT0310;PA0402;PA0431;PA0445;PA0805;PA1207;PA1215;PA1216;PA1303;PA1320;PA1325,AR;AT;DE;EC;ES;FR;GE;IL;KE;MX;NL;NZ;SA;TZ;US;ZA;ZW
equusasinus,AA1309;AT1309;NA0414;NA0811;NA0814;NA1201;NA1308;NA1310;NT0310;NT0709;NT1305;NT1401;PA0431;PA0805;PA1207;PA1325,AT;AU;BW;GE;IL;MX;NL;NZ;SA;US;VE
equuscaballus,AA0402;AA0405;AA0409;AA0703;AA1003;NA0410;NA0411;NA0517;NA0811;NA0814;NA1201;NA1202;NA1302;NA1305;NA1308;NT0121;NT0136;NT0176;NT0210;NT0217;NT0310;NT0803;NT0907;PA0402;PA0406;PA0419;PA0431;PA0445;PA1209;PA1215;PA1216,AR;AT;AU;BR;CO;DE;EC;ES;FR;MX;NL;NZ;RO;US
equusquagga,AT0108;AT0706;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0725;AT0726;AT0901;AT0902;AT0907;AT0908;AT1004;AT1005;AT1006;AT1012;NA1202,BW;KE;NA;TZ;UG;US;ZA;ZW
equuszebrahartmannae,AT0702;AT1201;AT1309;AT1314;AT1316;AT1322,NA;ZA
equuszebrazebra,AT0702;AT1201;AT1309;AT1314;AT1316;AT1322,NA;ZA
eragrostis,NA0405;NA0804;NA0806;NA0814;NA0815;PA0402;PA0405;PA0445;PA1215,DE;FR;SE;US
eragrostisannulata,,
eragrostisbicolor,,
eragrostisbiflora,,
eragrostiscilianensis,AA0402;AA0409;AA0802;NA0415;PA0402;PA0445,AU;DE;FR;US
eragrostisciliaris,AT0111;AT0707;AT0722,BF;BJ;ML;NG;SN
eragrostiscurvula,AA0402,AU
eragrostisechinochloidea,,
eragrostisgangetica,AT0722,BF
eragrostislehmanniana,,
eragrostisnindensis,,
eragrostispallens,AT0907,BW
eragrostispilosa,AA0402;AA0409;PA0402;PA0436;PA1215,AU;DE;FR;NL;SE
eragrostisporosa,,
eragrostisrigidior,,
eragrostisrotifer,,
eragrostissuperba,AT0907;NA0804;NA0806;NA0815,BW;US
eragrostistremula,AT0111;AT0707;AT0713;AT0722,BF;BJ;ML;NG;SN
eragrostistrichophora,,
eragrostistruncata,,
eragrostisturgida,AT0130;AT0722,BF;BJ;GN;NG
eragrostisviscosa,AT0907,BW
eremiaphilareticulata,,
eremias,PA0805;PA0814;PA1306;PA1312;PA1313;PA1317,AM;IR;MN;TJ;UA;UZ
eremitalpagranti,,
eremomelaicteropygialis,AT0112;AT0119;AT0702;AT0704;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0722;AT0725;AT0726;AT0902;AT0907;AT1007;AT1309;AT1310;AT1314;AT1316;AT1322,AO;BW;CD;ET;KE;NA;NG;SN;TZ;ZA;ZM
eremomelapusilla,AT0111;AT0707;AT0722;AT1010,BF;BJ;GH;GM;NG;TG
eremopterixleucotis,AT0112;AT0702;AT0709;AT0711;AT0712;AT0713;AT0715;AT0717;AT0719;AT0722;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1010;AT1314;AT1315,BJ;BW;CM;ET;GH;GM;KE;LS;MW;NA;NG;SN;TG;ZA;ZM;ZW
eremopterixnigriceps,AT0801;AT1302;AT1306;AT1320;PA1303;PA1323;PA1325,AE;CV;KW;OM;QA;SA
eresidae,AT0726;PA0402;PA0405;PA0445;PA0501;PA1215;PA1222,BE;DE;DK;ES;IT;NA
erianthemumngamicum,,
erigeronaegyptiacus,AT1015,TZ
erinaceinae,AA0405;AA0801;AA1003;PA0402;PA0405;PA0409;PA0412;PA0429;PA0436;PA0445;PA1201,DE;EE;GR;IE;NZ;SE
eriocephalusambiguus,,
eriocephalusaspalathiodes,,
eriocephalusmerxmuelleri,,
eriospermumbakerianum,,
eriospermummackeniigalpinii,,
erlangeamisera,,
erythrinasenegalensis,AT0114;AT0130;AT0722;AT1403,BF;BJ;GN;ML
erythrinasigmoidea,,
erythrocebuspatas,AT0101;AT0114;AT0707;AT0712;AT0713;AT0722,GH;GM;GN;GW;SN;SS;UG
erythrophleumafricanum,AT0111;AT0722,BJ
erythropygiapaena,,
eubalaenaaustralis,AA0402;AA0409;AT0116;NT0402;NT0802;NT0805,AQ;AR;AU;GS;ZA
eucalyptus,AA0402;AA0404;AA0405;AA0801;AA1202;AA1206;AA1210;AT0707;NA1201;NA1202;NA1302;NA1307;NT0310;PA0402;PA0425;PA1212;PA1214;PA1215;PA1221,AU;ES;FR;MX;NZ;PT;US
eucalyptusastringens,,
eucleacrispa,AT0704;AT1015,TZ
eucleanatalensis,,
eucleaundulata,AT1015;AT1309,NA;TZ
eudypteschrysocome,AA0413;AA1101;AT1203;NT0402;NT0805,AQ;AR;AU;CL;FK;GS;NZ;ZA
eudyptescrysolophus,AN1101;AN1103;AN1104;NT0805,AQ;CL;FK;GS
eumenidae,AA0405;AA0406;AT0712;AT1401;IM0146;NA0405;NA0410;NA0413;NA0524;NA0701;NA0801;NA0804;NA0814;NA1201;NA1202;NA1310;NT0205;NT0215;NT0310;NT0904;PA0402;PA0412;PA0436;PA0445;PA0501;PA1201;PA1211;PA1212;PA1215;PA1221;PA1222,CA;CM;DE;DO;ES;GR;IT;MX;NG;NZ;PT;SE;SG;US
euphorbiaaustrooccidentalis,,
euphorbiaavasmontana,AT1309,NA
euphorbiabalsamifera,AT0707;AT0722;PA1203;PA1212,ES;FR
euphorbiabraunsii,,
euphorbiachapmanii,,
euphorbiaglanduligera,,
euphorbiahirta,AA0402;AT0110;AT0130;AT0707;AT0722;AT1302;NA1311;NT0109;NT0137;NT0303,AU;BF;BJ;CD;CO;FR;GN;JM;ML;MX;NG;SA;SN
euphorbiainaequilatera,,ES
euphorbiapaganorum,AT0722,ML
euphorbiasudanica,AT0722,ML
euplectesfranciscanus,AT0111;AT0112;AT0705;AT0712;AT0715;AT0722;AT1007;AT1008;AT1403;NA0701;NA1201;NT0155;NT0226,ET;GH;GM;PR;SS;UG;US
euplectesorix,AT0101;AT0108;AT0119;AT0705;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0726;AT0907;AT1004;AT1009;AT1012;AT1013;AT1306;AT1314;AT1405,AE;BW;KE;LS;MZ;NA;TZ;UG;ZA;ZM
euplectesprogne,AT0108;AT0116;AT0711;AT0716;AT0717;AT0725;AT1003;AT1004;AT1005;AT1009;AT1012,KE;SZ;ZA
euplocastrigosa,,
eupodotisafra,AT0702;AT0709;AT0717;AT0902;AT1009;AT1201;AT1203;AT1309;AT1314;AT1322,NA;ZA
eupodotisruficrista,AT0702;AT0709;AT0711;AT0717;AT0725;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309;AT1316,BW;KE;NA;ZA
eupodotissenegalensis,AT0108;AT0112;AT0711;AT0714;AT0715;AT0716;AT1004;AT1009,ET;KE;TZ;ZA
eurocephalusanguitimens,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1309;AT1316,BW;NA;ZA;ZW
eurysternacrisbrevipes,,
evolvulusalsinoides,AA0402;AA0802;IM0154;IM0212;NA0303;NA1303;NA1311;NT0109;NT0205;NT0309;NT0310,AU;CO;LK;MX;US
faidherbiaalbida,AT0707;AT0713;AT0722;AT0903;AT0907;AT1309,BF;BW;FR;ML;NA
falco,PA0405;PA0436,SE
falcoalopex,AT0103;AT0111;AT0112;AT0705;AT0707;AT0711;AT0712;AT0713;AT0715;AT0721;AT0722;AT1007;AT1010,BF;CD;CM;ET;GH;GM;KE;ML;NE;NG;SD;SL;TD;TG;UG
falcoamurensis,AT0108;AT0116;AT0119;AT0709;AT0711;AT0716;AT0717;AT0725;AT1003;AT1004;AT1009;IM0105;IM0126;IM0137;IM0149;PA0411;PA0424;PA0430;PA0606;PA0804;PA0813;PA1302,BW;CN;HK;IN;KE;LS;MM;MN;MZ;RU;TZ;ZA
falcoardosiaceus,AT0101;AT0111;AT0112;AT0114;AT0705;AT0706;AT0707;AT0711;AT0714;AT0715;AT0716;AT0721;AT0722;AT0905;AT1007;AT1013;AT1401,BF;BJ;ET;GH;GM;KE;LR;NG;SS;TZ;UG
falcobiarmicus,AT0101;AT0107;AT0108;AT0109;AT0111;AT0112;AT0116;AT0119;AT0707;AT0711;AT0714;AT0716;AT0722;AT0725;AT0726;AT0908;AT1001;AT1004;AT1007;AT1008;AT1009;AT1013;AT1203;AT1403;PA0401;PA0608;PA1211,AO;BF;BJ;BW;CM;ET;GH;GM;GW;IT;KE;KW;LS;MZ;SE;SN;TZ;UG;ZA
falcochicquera,AT0101;AT0702;AT0704;AT0705;AT0707;AT0711;AT0712;AT0713;AT0716;AT0719;AT0721;AT0722;AT0725;AT0902;AT0905;AT0907;AT0908;AT1010;AT1309;IM0120;IM0124;IM0134;IM0166;IM0204;IM0206;IM0209;IM0701;IM1304;IM1401,BJ;BW;CF;CM;GH;GM;IN;KE;MW;NA;NG;NP;RW;SS;TG;TZ;UG;ZA;ZM
falcoconcolor,AT0112;AT0116;AT0117;AT0118;AT0119;AT0202;AT0711;AT0716;AT0726;AT1005;AT1009;AT1302;AT1306;AT1311;AT1312;PA0904;PA1303;PA1323;PA1325;PA1333,AE;EG;ET;IL;KE;KW;MG;MZ;NA;OM;SA;TZ;ZA
falcocuvierii,AT0101;AT0103;AT0108;AT0111;AT0114;AT0121;AT0126;AT0128;AT0702;AT0704;AT0705;AT0706;AT0707;AT0711;AT0712;AT0713;AT0716;AT0719;AT0721;AT0722;AT0725;AT0907;AT1013;AT1401,BW;CD;CM;GH;KE;LR;MZ;NA;TG;TZ;UG;ZM;ZW
falcodickinsoni,AT0125;AT0704;AT0706;AT0709;AT0717;AT0719;AT0724;AT0725;AT0726;AT0907;AT1004;AT1009,BW;CD;MW;NA;TZ;ZA;ZM;ZW
falcoeleonorae,AT0118;AT1005;PA0436;PA0814;PA1201;PA1205;PA1206;PA1209;PA1211;PA1215;PA1221;PA1222;PA1303,CY;ES;FR;GR;IL;IT;KE;MA;MG;MT;PT;RO;SE;TR
falcofasciinucha,AT0711;AT0717;AT0725;AT1004;AT1009,KE;ZA;ZM
falconaumanni,AT0705;AT0711;AT0714;AT0716;AT0722;AT0725;AT1004;AT1306;PA0436;PA0805;PA1201;PA1202;PA1205;PA1207;PA1209;PA1215;PA1221;PA1303;PA1313,AE;AM;ES;FR;GH;GR;IL;IR;KE;LS;PT;QA;SE;TR;TZ;UG;ZA
falcoperegrinus,IM0105;NA0407;NA0519;NA0524;NA0529;NA1201;NA1203;NA1302;PA0402;PA0405;PA0412;PA0445;PA1212;PA1221,CN;DE;DK;ES;IN;MA;MX;US
falcorupicoloides,AT0108;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0726;AT0902;AT0908;AT1004;AT1009;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322,BW;KE;NA;TZ;ZA
falcosubbuteo,PA0402;PA0405;PA0412;PA0445;PA0501;PA1201;PA1211,CH;DE;GR;IT
falcotinnunculus,PA0405;PA0436,SE
falcovespertinus,AT0717;AT0725;AT1004;PA0401;PA0402;PA0405;PA0409;PA0410;PA0412;PA0421;PA0422;PA0431;PA0445;PA0501;PA0809;PA0814;PA1201;PA1209;PA1210;PA1211;PA1215;PA1221;PA1222,AL;BG;DE;ES;FR;GB;GR;HR;HU;IT;ME;PT;RO;RS;RU;SI;TR;ZA
farsetiastenoptera,,
farsetiastylosa,,
faureasaligna,,
feliscatus,AA0405;AA0406;AA0407;AA0801;AA1003;IM0203;NA0402;NA0405;NA0409;NA0410;NA0413;NA0417;NA0516;NA0519;NA0524;NA0701;NA0801;NA0803;NA0804;NA0806;NA0814;NA1201;NA1202;NA1302;NA1303;NA1310;NT0145;NT0155;NT0181;NT0211;NT0310;PA0608,EC;IN;MX;NZ;PK;PR;RU;US
felismargarita,,
felisnigripes,,
felissylvestrislybica,AA0405;AA0406;AA0801;AA1003;AT0108;AT1302;IM0203;NA0405;NA0410;NA0701;NA0804;NA0806;NA0814;NA1201;NA1202;NA1310;PA0402;PA0405;PA0412;PA0445;PA0501;PA1201;PA1215,DE;ES;GM;GR;IN;NZ;SA;TZ;US
felissylvestrisschreber1775,AT0108;AT1302;PA0402;PA0405;PA0412;PA0445;PA0501;PA1201;PA1215,DE;ES;GM;GR;SA;TZ
feresaattenuata,AA0402;NA0513;NA0529;NT0155;NT0176;NT0178;NT1315,AU;EC;MX;PE;PR;SC;US;YT
feretiaapodanthera,AT0707;AT0713;AT0722,BF;FR;ML
ferrariaglutinosa,,
ficusabutilifolia,AT0111;AT0722,BF;BJ;ML;MW
ficuscordatasubsplecardiiccberg,AT0722,BF;ML
ficusdicranostyla,AT0722,BJ;ML
ficusglumosa,AT0130;AT0722,BF;BJ;GN;ML;MW
ficusingens,AT0130;AT0704;AT0707;AT0722,BF;BJ;CI;GN;ML;MW
ficusingensvaringens,AT0130;AT0704;AT0707;AT0722,BF;BJ;CI;GN;ML;MW
ficusplatyphylla,AT0130;AT0722;AT0903;AT1403,BF;BJ;GN;ML
ficuspolitapolita,AT0110;AT1403,CD;GN
ficussalicifolia,,
ficussarmentosaluducca,,
ficussur,AT0111;AT0114;AT0130;AT0704;AT0707;AT0722;AT1015,BF;CI;FR;GH;GN;ML;MW;TZ
ficussycomorus,AT0108;AT0110;AT0130;AT0704;AT0707;AT0903;AT0907;AT1309,BW;CD;FR;GN;ML;MW;NA;TZ
ficusthonningii,AT0110;AT0111;AT0130;AT0704;AT0707;AT0722;AT0907;AT1015,BF;BW;CD;FR;GH;GN;GW;ML;MW;TZ
fimbristylishispidula,AT0111;AT0707;AT0713;AT0722,BF;BJ;NG;SN
fingerhuthiaafricana,PA0445,DE
flueggeavirosavirosa,AT0111;AT0722;AT0907,BF;BJ;BW
forficulasenegalensis,,
