Oxygonumdelagoense,,
anasundulata,AT0101;AT0108;AT0112;AT0115;AT0704;AT0711;AT0717;AT0721;AT0725;AT1003;AT1004;AT1007;AT1008;AT1009;PA0445,DE;ET;KE;LS;UG;ZA;ZM
anatidae,PA0405;PA0436;PA0608,SE
andirainermis,AT0722,BF;BJ;ML
androctonusamoreuxi,,
andropogonfastigiatus,AT0111;AT0713;AT0722,BF;BJ
andropogongayanus,AT0130;AT0707;AT0713;AT0722,BF;BJ;GN;ML;SN
andropogongayanusbisquamulatus,AT0130;AT0707;AT0713;AT0722,BF;BJ;GN;ML;SN
andropogongayanuspolycladus,AT0130;AT0707;AT0713;AT0722,BF;BJ;GN;ML;SN
anhingamelanogaster,IM0105;IM0115;IM0120;IM0124;IM0126;IM0131;IM0135;IM0137;IM0150;IM0151;IM0164;IM0166;IM0168;IM0201;IM0202;IM0204;IM0206;IM0207;IM0209;IM0210;IM0212;IM1402;IM1404,ID;IN;KH;LK;MM;NP;TH;VN
animalia,PA0436;PA0608;PA1110,SE
annonareticulata,,
annonasenegalensis,AT0111;AT0130;AT0707;AT0722;AT1403,BF;BJ;FR;GN
annonasquamosa,AT0722;IM0124,ES;FR;IN
annonastenophylla,,
anobiidae,PA0402;PA0405;PA0436;PA0445;PA0608,DE;SE
anogeissusleiocarpa,AT0707;AT0713;AT0722;PA1329,BF;BJ;FR;ML
anomalaplebeja,,
anoplocnemiscurvipes,,
anthephorapubescens,,
anthephoraschinzii,,
anthoscopusminutus,AT0702;AT0717;AT0725;AT0902;AT1004;AT1009;AT1203;AT1309;AT1314;AT1315;AT1316;AT1322,BW;NA;ZA
anthus,PA0405;PA0436,SE
anticharissenegalensis,,
antidesmavenosum,AT0114;AT0130;AT0722;AT0907,BF;BJ;BW;GN;ML
antidorcasmarsupialis,AT0702;AT0709;AT0902;AT1009;AT1309;AT1315;AT1316,BW;NA;ZA
antizomaangustifolia,,
aonyxcapensis,AT0719;AT0721;AT0725;AT0726;AT0907;AT1403,BW;GN;KE;NA;ZA;ZW
apateterebrans,,
aphrodromabrevirostris,AN1104,AQ;AU;CL;FK;GS;TF
apidae,AA0405;AA0406;AA0410;AA0411;AA0801;AA1003;NA0303;NA0405;NA0801;NA0814;NA1201;NA1202;NA1203;NA1302;NA1303;NA1307;NA1310;NA1311;NT0310;NT0904;OC0106;PA0402;PA0405;PA0409;PA0412;PA0436;PA0445;PA1211;PA1222,AU;DE;IE;IT;MX;NZ;SE;US
apismellifera,AA0405;AA0411;AA0801;AA1003;NA0303;NA0405;NA0801;NA0814;NA1201;NA1202;NA1203;NA1302;NA1303;NA1307;NA1310;NA1311;NT0310;NT0904;OC0106;PA0402;PA0405;PA0412;PA0436;PA0445,AU;CH;DE;FR;MX;NZ;SE;US
aponogetonrehmannii,,
aptenodytespatagonicus,AN1103;AN1104;NT0402;NT0805,AR;CL;FK;GS;TF
aptosimum,,
aptosimumalbomarginatum,,
aptosimumelongatum,,
aptosimumlineare,,
aptosimummarlothii,,
aptosimumspinescens,,
apusaffinis,AT0108;AT0109;AT0111;AT0115;AT0116;AT0130;AT0707;AT0711;AT0714;AT0716;AT0722;AT0725;AT1003;AT1004;AT1203;IM0111;IM0124;IM0134;IM0135;IM0151;IM0166;IM0206;IM0212;PA1207;PA1212,GH;GM;GQ;IL;IN;KE;LK;LR;LS;MA;NG;SL;SN;TR;TZ;ZA
apusmelba,AT0101;AT0108;AT0112;AT0116;AT0715;AT0725;AT1003;AT1004;AT1005;AT1008;AT1203;AT1320;IM0150;IM0155;IM0166;IM0209;IM0212;IM0701;IM1301;PA0402;PA0404;PA0405;PA0435;PA0445;PA0501;PA0805;PA1201;PA1205;PA1207;PA1209;PA1210;PA1211;PA1215;PA1221;PA1222;PA1303;PA1320,AT;BG;CH;DE;ES;ET;FR;GE;GR;IL;IN;IR;IT;KE;LK;LS;NP;PT;SA;SE;TZ;UG;ZA
aquilafasciata,AT1302;AT1306;AT1320;IM0149;IM0150;IM0166;IM0209;IM0301;IM0501;IM1301;PA0433;PA1205;PA1206;PA1207;PA1208;PA1209;PA1212;PA1215;PA1216;PA1221;PA1303;PA1320,AE;CY;ES;FR;GR;HK;IL;IN;MA;NP;OM;PT
aquilanipalensis,AT0101;AT0108;AT0705;AT0711;AT0714;AT0716;AT0717;AT0907;AT1008;AT1306;IM0105;IM0115;IM0124;IM0126;IM0146;IM0166;IM0207;IM0301;IM0401;IM0403;IM0501;IM0502;IM0901;IM1301;IM1304;PA0424;PA0436;PA0804;PA1207;PA1303;PA1313;PA1323;PA1325,AE;CN;ET;IL;IN;IR;JO;KE;KW;MN;MY;NP;PK;SA;SE;TZ;UG;ZA;ZM
aquilapomarina,PA0405;PA0436;PA0608;PA0803;PA1201;PA1303,DE;GR;IL;SE;TR
aquilarapax,AT0108;AT0109;AT0112;AT0125;AT0705;AT0711;AT0714;AT0715;AT0716;AT0725;AT1005;AT1007;AT1008;AT1320;AT1402;IM0120;IM0124;IM0137;IM0150;IM0166;IM0209;IM1301,ET;IN;KE;LA;SA;TZ;UG;ZA
aquilaverreauxii,AT0108;AT0109;AT0112;AT0116;AT0701;AT0711;AT0714;AT0716;AT0717;AT0725;AT1001;AT1004;AT1007;AT1009;AT1203;AT1309;AT1314;AT1316;AT1322,AO;ET;KE;NA;TZ;ZA;ZM;ZW
arachishypogaea,AA0115;AT0722;PA0436;PA0608,BF;ES;FI;PG;SE
araneae,AA0402;AA0405;AA0406;AA0801;NA1202;NA1302;NT0217;NT0310;PA0405;PA0436,AU;MX;NZ;SE;US
archispirostreptus,AT0704;AT0725;AT1316;AT1320,MZ;NA;SA;ZM
arctocephaluspusillus,AA0402;AA0409;AT1203;AT1315;AT1322;NA1306,AU;MX;NA;ZA
arctocephalustropicalis,AA0402,AU;SH
arctotisleiocarpa,,
ardeaalba,NA0523;NA0529;NA0701;NA0806;NA1201;NA1202;NA1307;PA0402;PA0405;PA0436;PA0445;PA0608,AT;DE;MX;SE;US
ardeacinerea,PA0405;PA0436,SE
ardeagoliath,AT0101;AT0112;AT0119;AT0125;AT0705;AT0707;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1007;AT1009;AT1305;AT1403;AT1405,BW;DJ;ET;GM;GW;KE;NA;RW;SN;TG;TZ;UG;ZA;ZM;ZW
ardeamelanocephala,AT0101;AT0104;AT0108;AT0115;AT0119;AT0705;AT0706;AT0707;AT0711;AT0712;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1007;AT1009;AT1013;AT1402;AT1403,CD;ET;GH;GM;KE;MZ;SS;TZ;UG;ZA
ardeapurpurea,AT1403;IM0105;IM0124;IM0126;IM0212;PA0405;PA0431;PA0432;PA0436;PA0445;PA1201;PA1209;PA1212;PA1215;PA1221,AT;DE;ES;FR;GM;GR;HU;IN;IT;LK;SE
ardeolaidae,AT0108;AT0117;AT0118;AT0125;AT0202;AT0706;AT0711;AT0716;AT0721;AT1005;AT1311;AT1312,KE;MG;TZ
ardeolaralloides,AT0118;AT0119;AT0707;AT0722;AT1403;PA0404;PA0431;PA0435;PA0436;PA0814;PA0904;PA1201;PA1205;PA1207;PA1210;PA1215;PA1221;PA1303;PA1325,BG;EG;ES;FR;GM;GR;HU;IL;IT;ME;MG;PT;RO;SE;SK;TR;ZA
ardeolarufiventris,AT0116;AT0119;AT0704;AT0714;AT0716;AT0721;AT0725;AT0726;AT0907,AO;BW;KE;MZ;NA;TZ;UG;ZA;ZM;ZW
ardeotisarabs,AT0112;AT0713;AT0715;AT1007;PA1214,BF;CM;ET;MA;MR;SN
ardeotiskori,AT0108;AT0112;AT0702;AT0711;AT0714;AT0715;AT0716;AT0725;AT0726;AT0901;AT0902;AT0907;AT0908;AT1007;AT1009;AT1316,BW;ET;KE;NA;TZ;ZA;ZW
argasidae,PA0436;PA1210;PA1216,PT;SE;SI
argemoneochroleuca,AA0402;AA0409;AA0802;AA1309;AT1008;AT1203;AT1309;NA1302;NT0204;NT0303;NT0310;PA1203,AU;ES;ET;GT;MX;NA;ZA
aristidaadscensionis,PA1209,ES
aristidacongesta,AT0907,BW
aristidafuniculata,AT0713;AT0722,BF
aristidakerstingii,AT0130;AT0722,BF;BJ;GN;NG
aristidameridionalis,AT0907,BW
aristidamutabilisnigritiana,AT0713;AT0722,BF
aristidapilgeri,,
aristidasieberiana,AT0713,BF;ES
aristidastipitatastipitata,,
aristidastipoides,AT0713,BF
aristolochiaalbida,AT0722,NG
ariusgigas,,
arivelaviscosa,AT0713;AT0722;IM0154;NT1305;PA1329,BF;BJ;FR;IN;LK;ML;NG
artemisiajudaicasahariensis,PA1332,FR
arvicanthisniloticus,,
ascaricidarichardii,,
asclepiasfruticosa,AA0402;AA0409;PA0425;PA1204;PA1211;PA1222,AU;FR;IT;PT
aselliatridens,AT0722,ML
asparagus,AA0402;AA0406;AA0801;NA1201;PA0402;PA0403;PA0406;PA0513;PA1210;PA1215;PA1219;PA1221,AU;FR;IT;NZ;PT;US
asparagusafricanus,AA0402;AT0130;AT0707;AT0713;AT0722;AT0907,AU;BF;BJ;BW;GN;SN
asparagusbechuanicus,,
asparagusexuvialis,,
asparagusflagellaris,AT0707;AT0722,BF;SN
asparaguslaricinus,,
asparagusnelsii,,
asparagussuaveolens,,
aspidelapsscutatus,AT0717;AT0725,BW;ZA
astraealobata,AT0722,BF;BJ;NG
atelerixalbiventris,AT0125;AT0712;AT0722,GH;KE;SS
atelerixfrontalis,AT0717,ZA
atilaxpaludinosus,AT0130;AT0704;AT0707;AT0716;AT0722;AT0725;AT1402;AT1403,BW;CI;GN;LR;SN;TZ;ZA;ZM
atractaspisbibronii,,
atractaspiswatsoni,,
atractomorphaacutipennis,,
attagenus,PA0405;PA0436;PA0445;PA0608,DE;SE
auchenoglanisbiscutatus,,
auchenoglanisoccidentalis,,
aves,PA0436;PA0608;PA1110,SE
avicedacuculoides,AT0101;AT0107;AT0108;AT0111;AT0112;AT0119;AT0704;AT0705;AT0707;AT0711;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1008;AT1010,BJ;BW;CD;CM;ET;GH;KE;MW;MZ;NA;NG;TZ;UG;ZA;ZM;ZW
azadirachtaindica,AT0111;AT0707;AT0722;AT1302;AT1403;IM0154;NA1311,BF;BJ;FR;GH;GN;LK;MX;SA;SN
babianahypogea,,
bagrusbajad,,
bagrusdocmak,,
baikiaeaplurijuga,,
baisseamultiflora,AT0114;AT0130;AT0722,GN;ML
baisseawulfhorstii,,
