id,species_id,name,mime_type,src,width,height,author,date,place,comments,keywords,permission
pergulariadaemia-6-large.jpg,pergulariadaemia,large 6,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/30/PergulariaDaemia07.JPG/799px-PergulariaDaemia07.JPG,799,599,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-7-thumbnail.jpg,pergulariadaemia,thumbnail 7,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/a/af/PergulariaDaemia08.JPG/800px-PergulariaDaemia08.JPG,800,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-7-large.jpg,pergulariadaemia,large 7,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/a/af/PergulariaDaemia08.JPG/800px-PergulariaDaemia08.JPG,800,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-8-thumbnail.jpg,pergulariadaemia,thumbnail 8,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/9c/PergulariaDaemia09.JPG/800px-PergulariaDaemia09.JPG,800,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-8-large.jpg,pergulariadaemia,large 8,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/9c/PergulariaDaemia09.JPG/800px-PergulariaDaemia09.JPG,800,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-9-thumbnail.jpg,pergulariadaemia,thumbnail 9,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/6/68/PergulariaDaemia10.JPG/450px-PergulariaDaemia10.JPG,450,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-9-large.jpg,pergulariadaemia,large 9,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/6/68/PergulariaDaemia10.JPG/450px-PergulariaDaemia10.JPG,450,600,Christfried Naumann,2009-03-15,"Inalegolo, Kgalagadi, Botswana",,,"{""comment"": "", please cite the author"", ""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
vanelluscoronatus-0-thumbnail.jpg,vanelluscoronatus,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/7/73/VanellusCoronatus01.jpg,525,600,unknown,8 September 2005,"Shinyanga, Tanzania",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/"", ""Creative Commons Attribution-ShareAlike 3.0""]}"
vanelluscoronatus-0-large.jpg,vanelluscoronatus,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/7/73/VanellusCoronatus01.jpg,525,600,unknown,8 September 2005,"Shinyanga, Tanzania",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/"", ""Creative Commons Attribution-ShareAlike 3.0""]}"
vanelluscoronatus-1-thumbnail.jpg,vanelluscoronatus,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/2/20/VanellusCoronatus02.jpg,800,600,Thurner Hof,17 February 2007,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/"", ""Creative Commons Attribution-ShareAlike 3.0""]}"
vanelluscoronatus-1-large.jpg,vanelluscoronatus,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/2/20/VanellusCoronatus02.jpg,800,600,Thurner Hof,17 February 2007,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/"", ""Creative Commons Attribution-ShareAlike 3.0""]}"
falcorupicoloides-0-thumbnail.jpg,falcorupicoloides,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/7/7f/FalcoRupicoloides01.jpg,800,556,Thomas Schoch,21 August 2003,"Etosha National Park, Namibia",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
falcorupicoloides-0-large.jpg,falcorupicoloides,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/7/7f/FalcoRupicoloides01.jpg,800,556,Thomas Schoch,21 August 2003,"Etosha National Park, Namibia",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
falcorupicoloides-1-thumbnail.jpg,falcorupicoloides,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/6/69/FalcoRupicoloides02.jpg,800,600,D. Gordon E. Robertson,1 July 2009,"Serengeti National Park, Tanzania",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
falcorupicoloides-1-large.jpg,falcorupicoloides,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/6/69/FalcoRupicoloides02.jpg,800,600,D. Gordon E. Robertson,1 July 2009,"Serengeti National Park, Tanzania",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
lepussaxatilis-0-thumbnail.jpg,lepussaxatilis,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/b/bc/LepusSaxatilis01.JPG/800px-LepusSaxatilis01.JPG,800,473,"Lee R. Berger, uploaded by Profberger at en.wikipedia",2007-07-27 (original upload date to en.wikipedia),"Ngorongoro Crater, Tanzania",,,"{""comment"": ""CC-BY-2.5; Released under the"", ""license"": [""http://commons.wikimedia.org/wiki/GNU_Free_Documentation_License"", ""GNU Free Documentation License""]}"
lepussaxatilis-0-large.jpg,lepussaxatilis,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/b/bc/LepusSaxatilis01.JPG/800px-LepusSaxatilis01.JPG,800,473,"Lee R. Berger, uploaded by Profberger at en.wikipedia",2007-07-27 (original upload date to en.wikipedia),"Ngorongoro Crater, Tanzania",,,"{""comment"": ""CC-BY-2.5; Released under the"", ""license"": [""http://commons.wikimedia.org/wiki/GNU_Free_Documentation_License"", ""GNU Free Documentation License""]}"
lepussaxatilis-1-thumbnail.jpg,lepussaxatilis,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/32/LepusSaxatilis02.JPG/800px-LepusSaxatilis02.JPG,800,600,Masteraah,2005-11-04,"Pilansberg National Park, South Africa",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/2.0/de/deed.en"", ""Creative Commons Attribution-Share Alike 2.0 Germany""]}"
lepussaxatilis-1-large.jpg,lepussaxatilis,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/32/LepusSaxatilis02.JPG/800px-LepusSaxatilis02.JPG,800,600,Masteraah,2005-11-04,"Pilansberg National Park, South Africa",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/2.0/de/deed.en"", ""Creative Commons Attribution-Share Alike 2.0 Germany""]}"
lepuseuropaeus-0-thumbnail.jpg,lepuseuropaeus,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/1/15/LepusEuropaeus01.jpg,543,498,Hans-Jörg Hellwig,unknown,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
lepuseuropaeus-0-large.jpg,lepuseuropaeus,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/1/15/LepusEuropaeus01.jpg,543,498,Hans-Jörg Hellwig,unknown,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
sitophilus-0-thumbnail.jpg,sitophilus,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/a/a6/Sitophilus01.jpg,442,599,Sarefo,19 September 2007,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/2.5/deed.en"", ""Creative Commons Attribution-Share Alike 2.5 Generic""]}"
sitophilus-0-large.jpg,sitophilus,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/a/a6/Sitophilus01.jpg,442,599,Sarefo,19 September 2007,unknown,,,"{""license"": [""http://creativecommons.org/licenses/by-sa/2.5/deed.en"", ""Creative Commons Attribution-Share Alike 2.5 Generic""]}"
