id,name,description,order,family,genus,characteristics,notes,wikipedia_url,eol_id,countries__ids,ecoregions__ids
eragrostistrichophora,Eragrostis trichophora,Eragrostis sp.,Poales,Poaceae,Eragrostis Wolf,,,http://en.wikipedia.org/wiki/Eragrostis_trichophora,1114391,"BW,NA,ZA",AT1309
eremias,Eremias,Knox's Ocellated Sand Lizard,Squamata,Lacertidae,,,,http://en.wikipedia.org/wiki/Eremias,34897,"BW,ZA",AT0709
eremopterixleucotis,Eremopterix leucotis,Chestnut-backed sparrow-lark,Passeriformes,Alaudidae,Eremopterix,,,http://en.wikipedia.org/wiki/Eremopterix_leucotis,915709,"BW,NA,ZA","AT0709,AT1309"
eresidaesp,Eresidae sp.,Velvet spider,Araneae,C. L. Koch,Spieder,,,http://en.wikipedia.org/wiki/Eresidae_sp,,"BW,NA,ZA",AT1309
erythropygiapaena,Erythropygia paena,Kalahari scrub-robin,Passeriformes,Muscicapidae,Cercotrichas,,,http://en.wikipedia.org/wiki/Erythropygia_paena,1051502,"BW,NA,ZA",AT1309
eucleacrispa,Euclea crispa,Blue-leaved euclea,Ericales,Ebenaceae,Euclea,,,http://en.wikipedia.org/wiki/Euclea_crispa,5239783,"BW,NA",AT0709
eucleanatalensis,Euclea natalensis,Coastal hairy guarri,Ericales,Ebenaceae,Euclea,,,http://en.wikipedia.org/wiki/Euclea_natalensis,5239814,"BW,NA",AT0709
eucleaundulata,Euclea undulata,Small-leaved guarri,Ericales,Ebenaceae,Euclea,,,http://en.wikipedia.org/wiki/Euclea_undulata,5239845,"BW,NA",AT0709
eumenidaesp,Eumenidae sp.,Potter wasp,Hymenoptera,Vespidae,Wasp,,,http://en.wikipedia.org/wiki/Eumenidae_sp,,"BW,NA,ZA",AT1309
euplectesorix,Euplectes orix,red bishop,Passeriformes,Ploceidae,Euplectes,,,http://en.wikipedia.org/wiki/Euplectes_orix,919513,"BW,ZA",AT0709
euplectesprogne,Euplectes progne,Long-tailed widowbird,Passeriformes,Ploceidae,Euplectes,,,http://en.wikipedia.org/wiki/Euplectes_progne,919564,"BW,ZA",AT0709
eupodotisafra,Eupodotis afra,Black korhaan,Gruiformes,Otididae,Afrotis,,,http://en.wikipedia.org/wiki/Eupodotis_afra,338738,"BW,NA,ZA",AT1309
eupodotisruficrista,Eupodotis ruficrista,Redcrested korhaan,Gruiformes,Otididae,Lophotis,,,http://en.wikipedia.org/wiki/Eupodotis_ruficrista,338733,"BW,NA,ZA",AT1309
eurocephalusanguitimens,Eurocephalus anguitimens,Southern white-crowned shrike,Passeriformes,Laniidae,Eurocephalus,,,http://en.wikipedia.org/wiki/Eurocephalus_anguitimens,1050942,"BW,NA,ZA",AT1309
falcobiarmicus,Falco biarmicus,Lanner falcon,Falconiformes,Falconidae,Falco,,,http://en.wikipedia.org/wiki/Falco_biarmicus,1049182,"BW,NA,ZA,ZW",AT1309
falcochicquera,Falco chicquera,Red-necked Falcon,Falconiformes,Falconidae,Falco,,,http://en.wikipedia.org/wiki/Falco_chicquera,1049191,"BW,ZA",AT0709
falconaumanni,Falco naumanni,Lesser Kestrel,Falconiformes,Falconidae,Falco,,,http://en.wikipedia.org/wiki/Falco_naumanni,1049201,"BW,ZA",AT0709
falcoperegrinus,Falco peregrinus,Peregrine Falcon,Falconiformes,Falconidae,Falco,,,http://en.wikipedia.org/wiki/Falco_peregrinus,1049164,"BW,ZA",AT0709
falcorupicoloides,Falco rupicoloides,Greater Kestrel,Falconiformes,Falconidae,Falco,,,http://en.wikipedia.org/wiki/Falco_rupicoloides,1049207,"BW,ZA",AT0709
faureasaligna,Faurea saligna,Willow beechwood,Proteales,Proteaceae,Faurea,,,http://en.wikipedia.org/wiki/Faurea_saligna,5510729,"BW,ZA",AT0709
felislybica,Felis lybica,African wild cat,Carnivora,Felidae,Felis,,,http://en.wikipedia.org/wiki/Felis_lybica,1253260,"BW,MZ,NA,ZA,ZW",AT1309
felisnigripes,Felis nigripes,African black-footed cat,Carnivora,Felidae,Felis,,,http://en.wikipedia.org/wiki/Felis_nigripes,328666,"BW,NA,ZA","AT0709,AT1309"
felisserval,Felis serval,Serval,Carnivora,Felidae,Leptailurus,,,http://en.wikipedia.org/wiki/Felis_serval,1041048,"BW,ZA",AT0709
ferrariaglutinosa,Ferraria glutinosa,Ferraria sp.,Asparagales,Iridaceae,Ferraria,,,http://en.wikipedia.org/wiki/Ferraria_glutinosa,5870570,"BW,NA,ZA",AT1309
ficusingens,Ficus ingens,Red-leaved rock fig,Rosales,Moraceae,Ficus,,,http://en.wikipedia.org/wiki/Ficus_ingens,4858350,"BW,NA",AT0709
ficussalicifolia,Ficus salicifolia,Willow-leaved fig,Rosales,Moraceae,Ficus,,,http://en.wikipedia.org/wiki/Ficus_salicifolia,4858351,"BW,NA,ZA","AT0709,AT1309"
fimbristylishispidula,Fimbristylis hispidula,Fimbristylis hispidula,Poales,Cyperaceae,Bulbostylis,,,http://en.wikipedia.org/wiki/Fimbristylis_hispidula,1125722,"BW,NA,ZA",AT0709
formicidaesp,Formicidae sp.,Ants,Hymenoptera,Formicidae,,,,http://en.wikipedia.org/wiki/Formicidae_sp.,,"BW,NA,ZA",AT1309
francolinusadspersus,Francolinus adspersus,Red-billed francolin,Galliformes,Phasianidae,Francolinus,,,http://en.wikipedia.org/wiki/Francolinus_adspersus,900214,"BW,NA,ZA",AT1309
galagomoholi,Galago moholi,Moholi Bushbaby,Primates,Galagonidae,Galago,,,http://en.wikipedia.org/wiki/Galago_moholi,310964,"BW,ZA",AT0709
galerellasanguine,Galerella sanguine,"Slender mongoose, black-tipped mongoose, black-tailed mongoose",,Herpestidae,Mongoose,,,http://en.wikipedia.org/wiki/Galerella_sanguine,,"BW,NA,ZA","AT0709,AT1309"
gazaniakrebsianaserrulata,Gazania krebsiana serrulata,Gazania sp.,Asterales,Asteraceae,Gazania,,,http://en.wikipedia.org/wiki/Gazania_krebsiana_serrulata,6252520,"BW,NA,ZA","AT0709,AT1309"
geigeriaburkei,Geigeria burkei,Geigeria sp.,Asterales,Asteraceae,Geigeria,,,http://en.wikipedia.org/wiki/Geigeria_burkei,,"BW,NA",AT0709
genettagenetta,Genetta genetta,Small-spotted Genet,Carnivora,Viverridae,Genetta,,,http://en.wikipedia.org/wiki/Genetta_genetta,328095,"BW,NA,ZA","AT0709,AT1309"
genettagenettapulchra,Genetta genetta pulchra,Small-spotted genet,Carnivora,Viverridae,Genetta Cuvier 1816,,,http://en.wikipedia.org/wiki/Genetta_genetta_pulchra,33305432,"BW,NA",AT0709
genettatigrina,Genetta tigrina,Large-spotted Genet,Carnivora,Viverridae,Genetta,,,http://en.wikipedia.org/wiki/Genetta_tigrina,328100,"BW,ZA",AT0709
geochelonepardalis,Geochelone pardalis,Leopard tortoise,Testudines,Testudinidae,Psammobates,,,http://en.wikipedia.org/wiki/Geochelone_pardalis,794299,"BW,NA,ZA",AT1309
gerrhosaurusflavigularis,Gerrhosaurus flavigularis,Yellow-throated plated lizard,Squamata,Gerrhosauridae,Gerrhosaurus,,,http://en.wikipedia.org/wiki/Gerrhosaurus_flavigularis,1056333,"BW,ZA",AT0709
gerrhosaurusnigrolineatus,Gerrhosaurus nigrolineatus,Black-lined plated lizard,Squamata,Gerrhosauridae,Gerrhosaurus,,,http://en.wikipedia.org/wiki/Gerrhosaurus_nigrolineatus,794192,"BW,NA,ZA,ZW",
giraffacamelopardalis,Giraffa camelopardalis,Giraffe,Artiodactyla,Giraffidae,Giraffa,,,http://en.wikipedia.org/wiki/Giraffa_camelopardalis,308378,"BW,MZ,NA,ZA,ZW",AT1309
glaucidiumperlatum,Glaucidium perlatum,Pearlspotted owlet,Strigiformes,Strigidae,Glaucidium,,,http://en.wikipedia.org/wiki/Glaucidium_perlatum,1178265,"BW,NA,ZA",AT1309
glossinasp,Glossina sp.,Tsetse fly,Diptera,Theobald,Glossina,,,http://en.wikipedia.org/wiki/Glossina_sp,,"BW,ZA",AT0709
gnaphaliumundulatum,Gnaphalium undulatum,Gnaphalium sp.,Asterales,Asteraceae,Gnaphalium,,,http://en.wikipedia.org/wiki/Gnaphalium_undulatum,6237096,"BW,NA",AT0709
gnidiacapitata,Gnidia capitata,Gnidia sp.,,Thymelaeaceae,,,,http://en.wikipedia.org/wiki/Gnidia_capitata,5469533,"BW,NA",AT0709
gnidiapolycephala,Gnidia polycephala,Gnidia sp.,,Thymelaeaceae,,,,http://en.wikipedia.org/wiki/Gnidia_polycephala,5468970,"BW,NA,ZA",AT1309
gomphocarpusfruticosus,Gomphocarpus fruticosus,Narrow-Leaf Cotton Bush,Gentianales,Apocynaceae,Gomphocarpus,,,http://en.wikipedia.org/wiki/Gomphocarpus_fruticosus,2892993,NA,AT1309
gonopussp,Gonopus sp.,"Darkling beetle, darkening beetle",,Tenebrionidae,Beetles,,,http://en.wikipedia.org/wiki/Gonopus_sp,,"BW,NA,ZA",AT1309
graphiurusmurinus,Graphiurus murinus,woodland dormouse,Rodentia,Myoxidae,Graphiurus,,,http://en.wikipedia.org/wiki/Graphiurus_murinus,327925,"BW,NA",AT0709
grewiaavellanahiern,Grewia avellana Hiern,Grewia sp.,Malvales,Malvaceae,Grewia,,,http://en.wikipedia.org/wiki/Grewia_avellana_Hiern,5423882,"BW,NA,ZA",AT1309
grewiaflava,Grewia flava,Velvet raisin,Malvales,Malvaceae,Grewia,,,http://en.wikipedia.org/wiki/Grewia_flava,5424028,"BW,NA,ZA",AT1309
grewiaflavescens,Grewia flavescens,Sandpaper raisin,Malvales,Malvaceae,Grewia,,,http://en.wikipedia.org/wiki/Grewia_flavescens,5424029,"BW,NA,ZA",AT1309
grewiaoccidentalis,Grewia occidentalis,Crossberry,Malvales,Malvaceae,Grewia,,,http://en.wikipedia.org/wiki/Grewia_occidentalis,5424044,"BW,ZA",AT0709
grewiaretinervis,Grewia retinervis,Kalahari sand raisin,Malvales,Malvaceae,Grewia,,,http://en.wikipedia.org/wiki/Grewia_retinervis,5424289,"BW,NA,ZA",AT1309
gryllidaesp,Gryllidae sp.,Cricket,Orthoptera,Gryllidae,,,,http://en.wikipedia.org/wiki/Gryllidae_sp,,"BW,ZA",AT0709
gymnosporiaheterophylla,Gymnosporia heterophylla,Caribbean mayten,Celastrales,Celastraceae,Maytenus,,,http://en.wikipedia.org/wiki/Gymnosporia_heterophylla,33589446,"BW,ZA",AT0709
gypsafricanus,Gyps africanus,White-backed vulture,Accipitriformes,Accipitridae,Gyps,,,http://en.wikipedia.org/wiki/Gyps_africanus,1047564,"BW,NA,ZA",AT1309
gypscoprotheres,Gyps coprotheres,Cape Vulture,Accipitriformes,Accipitridae,Gyps,,,http://en.wikipedia.org/wiki/Gyps_coprotheres,912805,"BW,NA,ZA",AT1309
gyrinidaesp,Gyrinidae sp.,Whirligig beetle,Coleoptera,Gyrinidae,Beetle,,,http://en.wikipedia.org/wiki/Gyrinidae_sp,,"BW,ZA",AT0709
haliaeetusvocifer,Haliaeetus vocifer,African Fish Eagle,Accipitriformes,Accipitridae,Haliaeetus,,,http://en.wikipedia.org/wiki/Haliaeetus_vocifer,914530,"BW,ZA",AT0709
harpagophytumprocumbens,Harpagophytum procumbens,Kalahari devil's claw,Lamiales,Pedaliaceae,Harpagophytum,,,http://en.wikipedia.org/wiki/Harpagophytum_procumbens,5658266,"BW,NA,ZA",AT1309
helichrysumparonychioides,Helichrysum paronychioides,Helichrysum sp.,Asterales,Asteraceae,Helichrysum,,,http://en.wikipedia.org/wiki/Helichrysum_paronychioides,,"BW,NA",AT0709
helioboluslugubris,Heliobolus lugubris,"Bushveld Lizard, Mourning Racerunner",Squamata,Lacertidae,Heliobolus,,,http://en.wikipedia.org/wiki/Heliobolus_lugubris,793367,"BW,NA",AT1309
